Datetime	hanle_cloud%	merak_cloud%	Hanle pblh merra	Merak pblh merra
2018-03-08 20:00:00	79.0	95.765	0.831	1.305
2018-03-09 05:25:00	19.111	81.391	1.99	1.694
2018-03-09 08:40:00	95.543	98.0	2.281	2.013
2018-03-09 16:30:00	24.903	49.508	1.171	0.92
2018-03-09 20:45:00	14.163	39.44	1.407	0.964
2018-03-10 06:10:00	7.487	46.571	2.117	1.709
2018-03-10 07:45:00	17.111	41.978	2.214	1.765
2018-03-10 17:10:00	27.059	39.167	1.817	0.415
2018-03-10 19:50:00	17.5	-99.9	1.767	0.348
2018-03-10 21:25:00	-99.9	12.0	1.531	0.259
2018-03-10 21:30:00	12.833	31.407	1.531	0.259
2018-03-11 05:15:00	3.946	37.824	2.294	1.827
2018-03-11 08:30:00	15.644	58.14	2.682	2.386
2018-03-11 16:15:00	71.79	47.79	0.888	1.379
2018-03-11 20:35:00	15.192	35.2	1.32	1.365
2018-03-12 05:55:00	1.733	25.231	2.128	1.568
2018-03-12 07:35:00	17.75	66.903	2.629	1.884
2018-03-12 17:00:00	21.031	34.917	0.154	0.53
2018-03-12 21:15:00	40.333	75.077	0.057	0.069
2018-03-13 05:00:00	61.333	96.286	2.22	1.83
2018-03-13 08:15:00	16.716	87.143	2.917	2.991
2018-03-13 16:05:00	17.63	82.72	0.876	1.353
2018-03-13 17:40:00	2.0	100.0	0.655	1.094
2018-03-13 20:20:00	56.432	99.03	0.163	0.382
2018-03-14 05:45:00	7.409	81.745	2.889	1.779
2018-03-14 07:20:00	28.683	100.0	2.707	2.331
2018-03-14 16:45:00	86.408	100.0	0.845	0.825
2018-03-14 21:05:00	95.458	99.871	0.704	0.731
2018-03-15 04:50:00	61.818	97.467	1.848	1.533
2018-03-15 06:30:00	-99.9	100.0	2.822	2.562
2018-03-15 08:05:00	83.958	100.0	2.811	2.842
2018-03-15 17:30:00	44.364	70.667	0.578	0.587
2018-03-15 20:10:00	48.16	80.857	0.352	0.331
2018-03-16 05:35:00	14.59	70.812	2.266	1.744
2018-03-16 07:10:00	35.385	82.167	2.55	2.124
2018-03-16 08:50:00	-99.9	82.222	2.548	2.152
2018-03-16 16:35:00	24.208	47.838	1.07	1.305
2018-03-16 20:50:00	11.182	39.696	0.666	0.685
2018-03-17 06:15:00	4.828	40.848	2.879	2.413
2018-03-17 07:50:00	49.553	-99.9	3.007	2.473
2018-03-17 07:55:00	-99.9	41.778	3.007	2.473
2018-03-17 17:15:00	23.636	51.579	0.903	0.853
2018-03-17 19:55:00	20.903	45.6	0.141	0.47
2018-03-17 21:35:00	-99.9	100.0	0.057	0.905
2018-03-18 05:20:00	0.376	21.756	2.143	2.037
2018-03-18 08:35:00	0.471	21.454	2.615	2.223
2018-03-18 16:20:00	88.833	100.0	0.19	0.386
2018-03-18 20:40:00	34.214	99.52	0.779	0.685
2018-03-19 06:05:00	0.75	23.765	2.373	2.218
2018-03-19 07:40:00	1.842	31.737	2.477	2.341
2018-03-19 17:05:00	18.072	33.926	0.921	1.078
2018-03-19 21:20:00	7.172	26.824	0.431	0.616
2018-03-20 05:10:00	96.429	98.546	2.756	2.618
2018-03-20 08:25:00	75.346	91.308	2.892	2.57
2018-03-20 16:10:00	86.0	89.333	1.115	1.233
2018-03-20 20:25:00	96.782	87.8	1.365	1.427
2018-03-21 05:50:00	90.356	20.95	2.022	2.087
2018-03-21 07:30:00	100.0	59.84	2.527	2.319
2018-03-21 16:50:00	99.333	-99.9	0.626	0.912
2018-03-21 16:55:00	100.0	100.0	0.626	0.912
2018-03-21 21:10:00	92.5	100.0	0.457	0.366
2018-03-22 04:55:00	99.385	98.778	2.122	2.265
2018-03-22 08:10:00	80.286	100.0	2.646	2.467
2018-03-22 17:35:00	55.833	69.714	0.795	0.923
2018-03-22 20:15:00	64.5	69.5	0.184	0.566
2018-03-23 05:40:00	16.706	27.333	2.196	1.975
2018-03-23 07:15:00	19.75	50.875	2.464	2.079
2018-03-23 16:40:00	26.0	84.8	0.653	0.963
2018-03-23 20:55:00	34.278	100.0	0.368	0.617
2018-03-23 21:00:00	60.0	-99.9	0.309	0.653
2018-03-24 04:45:00	100.0	-99.9	1.736	1.818
2018-03-24 06:20:00	62.087	100.0	2.588	2.489
2018-03-24 08:00:00	61.67	100.0	2.733	2.742
2018-03-24 17:25:00	93.674	92.087	1.219	1.493
2018-03-24 20:00:00	97.0	94.25	1.356	1.639
2018-03-25 05:25:00	22.021	21.696	2.944	2.664
2018-03-25 08:40:00	61.212	76.0	2.912	2.983
2018-03-25 16:30:00	17.161	42.71	1.678	1.608
2018-03-25 20:45:00	14.8	51.451	0.655	0.922
2018-03-26 06:10:00	0.0	13.0	2.168	2.291
2018-03-26 07:45:00	0.484	12.044	2.401	2.394
2018-03-26 17:10:00	19.478	46.0	0.559	0.296
2018-03-26 19:50:00	16.167	-99.9	0.666	0.196
2018-03-26 21:30:00	5.167	42.56	0.688	0.182
2018-03-27 05:15:00	0.0	8.364	1.99	1.886
2018-03-27 08:30:00	6.233	42.927	2.478	2.438
2018-03-27 16:15:00	54.421	89.674	0.889	1.146
2018-03-27 20:35:00	61.959	67.916	0.274	0.586
2018-03-28 05:55:00	-99.9	83.385	2.248	2.238
2018-03-28 06:00:00	48.966	-99.9	2.311	2.268
2018-03-28 07:35:00	73.742	84.197	2.338	2.288
2018-03-28 17:00:00	17.958	29.65	0.678	0.768
2018-03-28 21:15:00	6.286	24.615	0.063	0.307
2018-03-29 05:00:00	0.0	12.174	2.67	2.422
2018-03-29 05:05:00	0.0	-99.9	2.67	2.422
2018-03-29 08:15:00	94.435	99.42	2.996	2.993
2018-03-29 16:05:00	96.308	91.556	1.401	1.215
2018-03-29 17:40:00	-99.9	100.0	1.301	1.188
2018-03-29 20:20:00	100.0	75.394	1.106	1.06
2018-03-30 05:45:00	53.885	58.71	2.336	2.282
2018-03-30 07:20:00	95.7	72.1	2.989	2.952
2018-03-30 16:45:00	20.8	41.04	2.624	2.233
2018-03-30 21:05:00	5.333	19.682	0.863	0.443
2018-03-31 04:50:00	0.686	5.739	1.751	1.608
2018-03-31 06:30:00	-99.9	100.0	2.299	2.533
2018-03-31 08:05:00	0.536	11.663	2.615	2.892
2018-03-31 17:30:00	15.467	43.429	1.024	2.041
2018-03-31 20:10:00	12.8	40.952	1.249	1.849
2018-04-01 05:35:00	0.0	7.216	2.233	1.858
2018-04-01 07:10:00	0.0	2.615	2.706	2.249
2018-04-01 08:50:00	-99.9	0.667	2.844	2.359
2018-04-01 16:35:00	10.909	30.526	1.078	1.045
2018-04-01 20:50:00	7.765	27.297	0.889	0.658
2018-04-02 06:15:00	0.0	5.0	2.557	2.381
2018-04-02 07:50:00	11.921	-99.9	2.721	2.533
2018-04-02 07:55:00	-99.9	14.505	2.721	2.533
2018-04-02 17:15:00	17.482	48.0	0.127	0.527
2018-04-02 17:20:00	-99.9	82.943	0.127	0.527
2018-04-02 19:55:00	14.064	85.185	0.156	0.511
2018-04-02 21:35:00	-99.9	100.0	0.157	0.377
2018-04-03 05:20:00	5.931	63.7	2.035	1.827
2018-04-03 08:35:00	76.606	94.514	2.387	2.198
2018-04-03 16:20:00	99.765	93.647	0.298	0.671
2018-04-03 16:25:00	-99.9	76.774	0.298	0.671
2018-04-03 20:40:00	25.087	51.686	0.407	0.577
2018-04-04 06:05:00	8.174	21.726	2.23	2.18
2018-04-04 07:40:00	41.662	55.538	2.325	2.257
2018-04-04 17:05:00	13.0	100.0	0.212	0.711
2018-04-04 21:20:00	100.0	76.235	0.154	0.648
2018-04-05 05:10:00	54.828	35.333	2.519	2.53
2018-04-05 08:25:00	100.0	96.074	2.854	2.852
2018-04-05 16:10:00	100.0	100.0	0.824	0.816
2018-04-05 20:25:00	100.0	98.1	0.802	0.761
2018-04-06 05:50:00	94.444	82.734	2.324	2.404
2018-04-06 07:30:00	93.833	94.745	2.515	2.675
2018-04-06 16:55:00	100.0	72.893	0.546	0.813
2018-04-06 21:10:00	87.83	56.08	0.659	0.881
2018-04-07 04:55:00	47.027	22.0	2.0	1.944
2018-04-07 08:10:00	68.098	37.06	2.575	2.235
2018-04-07 17:35:00	37.2	37.0	0.972	0.672
2018-04-07 20:15:00	37.467	30.98	1.457	0.594
2018-04-08 05:40:00	3.36	28.515	2.042	1.832
2018-04-08 07:15:00	8.0	41.29	2.544	2.178
2018-04-08 16:40:00	60.879	54.517	0.47	0.561
2018-04-08 20:55:00	100.0	100.0	0.156	0.484
2018-04-08 21:00:00	100.0	-99.9	0.148	0.529
2018-04-09 04:45:00	100.0	-99.9	2.14	1.966
2018-04-09 06:20:00	95.5	99.231	2.464	2.368
2018-04-09 08:00:00	89.087	91.692	2.54	2.504
2018-04-09 17:25:00	71.909	100.0	0.089	0.494
2018-04-09 20:00:00	95.429	99.613	0.129	0.316
2018-04-10 05:25:00	25.918	73.489	2.036	1.967
2018-04-10 08:40:00	76.222	94.323	2.265	2.294
2018-04-10 16:30:00	98.188	100.0	0.851	0.656
2018-04-10 20:45:00	74.92	99.72	0.992	0.98
2018-04-11 06:10:00	65.371	100.0	1.884	2.139
2018-04-11 07:45:00	64.533	99.867	1.905	2.211
2018-04-11 17:10:00	23.343	69.257	0.765	1.034
2018-04-11 19:50:00	25.833	-99.9	0.677	0.872
2018-04-11 21:30:00	25.833	97.231	0.639	0.804
2018-04-12 05:15:00	45.333	64.179	2.165	2.58
2018-04-12 08:30:00	61.767	87.81	2.528	2.865
2018-04-12 16:15:00	33.9	85.474	1.328	1.698
2018-04-12 20:35:00	26.98	68.387	0.824	1.36
