date	hanle_pblh_avg	merak_pblh_avg	hanle_pblh_median	merak_pblh_median
1984-09-20	1.9364337	2.2163446	2.0556896	2.1969566
1984-09-21	1.7996764	2.1080317	1.9035926	2.1586485
1984-09-22	1.7804755	2.0125375	1.9115667	2.03386
1984-09-23	1.8763754	2.1536314	1.8131906	2.039515
1984-09-24	2.0168889	1.8465073	2.0313892	1.8883656
1984-09-25	2.0677977	1.8471025	2.0410004	1.8436799
1984-09-26	1.8490324	1.5845792	2.0356703	1.7390447
1984-09-27	2.0844805	1.7113659	2.1050875	1.806052
1984-09-28	1.8953667	2.0896854	2.108613	2.201761
1984-09-29	2.0498767	2.256566	2.227722	2.2027814
1984-09-30	1.9957783	2.1610293	2.1970844	2.2464468
1984-10-01	1.6309596	1.9346671	1.8568807	2.1353917
1984-10-02	1.5551419	1.7459962	1.7095263	1.8753979
1984-10-03	1.7149823	1.7651718	1.7975361	1.8944883
1984-10-04	1.391986	1.535004	1.6341074	1.8130674
1984-10-05	1.4746027	1.878778	1.5328772	1.8219535
1984-10-06	1.5212517	2.0936396	1.5755181	2.0363686
1984-10-07	1.5862203	1.7447633	1.8859235	2.0653653
1984-10-08	1.7847773	2.120893	1.8326224	2.0363684
1984-10-09	1.8296425	2.2555668	1.8445418	2.1441073
1984-10-10	2.1615782	2.1320539	2.171441	2.183351
1984-10-11	1.6643462	2.384947	1.9273891	2.4566526
1984-10-12	1.6869048	2.0481033	2.1006389	2.2411323
1984-10-13	1.7144578	2.1096048	1.97855	2.19279
1984-10-14	1.4596198	1.6224622	1.719599	1.9022264
1984-10-15	1.3911467	1.6959534	1.5703139	1.9484003
1984-10-16	1.1615952	1.2884245	1.3145945	1.5189749
1984-10-17	1.1001521	1.2448442	1.2113919	1.3947392
1984-10-18	1.2130287	1.4765214	1.3236179	1.7491639
1984-10-19	1.3150773	1.5092385	1.4397053	1.6951668
1984-10-20	1.8528306	1.651544	2.1799188	2.007967
1984-10-21	0.93701726	1.1397626	0.9258324	1.2023057
1984-10-22	1.8291808	2.5374782	2.0064175	2.7214932
1984-10-23	1.8814118	2.354526	1.9234021	2.3482761
1984-10-24	1.5566949	1.6219095	1.6327224	1.6886617
1984-10-25	1.3595856	1.5375975	1.4319409	1.7362385
1984-10-26	1.5294569	1.814747	1.5617522	2.005671
1984-10-27	2.0705678	2.2511663	2.1549053	2.3456397
1984-10-28	2.124939	2.270873	2.0749116	2.188028
1984-10-29	2.1805694	2.2691724	2.1955316	2.3457675
1984-10-30	1.7408564	1.9746121	1.8135684	2.0780356
1984-10-31	1.1873645	1.2957588	1.3725543	1.5545194
1984-11-01	1.2745558	1.427435	1.2138262	1.4643825
1984-11-02	1.5854439	1.7548187	1.741381	1.8725069
1984-11-03	1.7104076	1.9025452	1.5643961	2.022423
1984-11-04	2.027759	2.1903453	2.1249392	2.3359034
1984-11-05	1.7787127	1.5848981	2.1436572	1.8714863
1984-11-06	1.2706527	1.3797094	1.3058649	1.5183797
1984-11-07	1.7854278	1.4545399	1.6998314	1.4340253
1984-11-08	1.5548902	1.3069196	1.6104367	1.4509472
1984-11-09	1.6712292	1.4896379	1.9750664	1.6753962
1984-11-10	1.1555727	1.2046441	1.2489126	1.3202913
1984-11-11	1.7936329	1.9707431	1.9501786	2.0264196
1984-11-12	1.333208	1.3531573	1.3084252	1.4152325
1984-11-13	1.0584135	1.0411223	1.0373449	1.003197
1984-11-14	1.0079244	0.9424821	1.1516695	1.0739882
1984-11-15	1.2219683	1.2932928	0.99839735	1.1519651
1984-11-16	1.1626444	1.5100462	1.0803216	1.6688061
1984-11-17	1.1236551	1.2116382	1.200396	1.3943565
1984-11-18	1.1292369	1.4607261	0.8910817	1.4753946
1984-11-19	1.159266	1.3384675	1.1189754	1.4057937
1984-11-20	1.3145736	1.4686344	1.3915664	1.6709319
1984-11-21	1.1416599	0.9564065	1.1927156	0.98104525
1984-11-22	1.2232692	1.373353	1.2698133	1.4124689
1984-11-23	1.3536261	1.5052419	1.5281765	1.7867918
1984-11-24	1.1163943	1.0860207	1.0966057	1.0727128
