year	month	han_pblh_avg	mer_pblh_avg	han_pblh_median	mer_pblh_median
2005	1	1.2804955	1.388962	1.1524063	1.3449087
2005	2	1.5277808	1.634728	1.4733366	1.5614588
2005	3	1.2923751	1.3287128	1.1292727	1.2357123
2005	4	1.7211952	1.7835429	1.7691319	1.8897636
2005	5	1.5563776	1.6461114	1.3836174	1.4654325
2005	6	1.7042544	1.7350645	1.6781017	1.6752565
2005	7	1.5144978	1.6500499	1.5315492	1.6683054
2005	8	1.4177063	1.5622709	1.3513601	1.3717582
2005	9	1.3318998	1.5662695	1.2385247	1.4557743
2005	10	1.4583315	1.529047	1.3521645	1.3539077
2005	11	1.4679743	1.4959921	1.3760786	1.3958355
2005	12	1.1782435	1.2515885	1.0218017	1.2492275
2006	1	1.5107936	1.6520568	1.5263441	1.6821922
2006	2	1.2574943	1.2903289	1.0935647	1.1709588
2006	3	1.2880855	1.3703616	1.0310172	1.2082528
2006	4	1.6648239	1.7737218	1.5834966	1.8555267
2006	5	1.7155775	1.7173527	1.7809922	1.686375
2006	6	1.6323831	1.8236696	1.6427598	1.8416555
2006	7	1.5554662	1.6323392	1.508739	1.617004
2006	8	1.2414247	1.3764473	0.89873505	1.141597
2006	9	1.3032175	1.5074235	1.2521037	1.4420192
2006	10	1.608245	1.607975	1.6024065	1.5371084
2006	11	1.5537901	1.4352326	1.4959872	1.4806929
2006	12	1.3029505	1.4365904	1.1641525	1.4592559
2007	1	1.3847587	1.3929777	1.372092	1.3851546
2007	2	1.1934173	1.3549123	1.1329143	1.3208306
2007	3	1.1585909	1.2717028	1.000843	1.1823343
2007	4	1.7589166	1.7618711	1.7563614	1.7130256
2007	5	1.6380892	1.66538	1.5191038	1.522691
2007	6	1.7981507	1.7441587	1.9316024	1.7473874
2007	7	1.6397793	1.7348468	1.6961126	1.7751718
2007	8	1.3654317	1.5332258	1.2353783	1.4478147
2007	9	1.4777184	1.717683	1.5067986	1.6035826
2007	10	1.3314122	1.6239725	1.0978158	1.4402891
2007	11	1.3043581	1.3060702	1.0207593	1.1493678
2007	12	1.5240734	1.6284282	1.451286	1.6318454
2008	1	1.5198497	1.650838	1.5037079	1.6667846
2008	2	1.6417595	1.5446659	1.7018209	1.494666
2008	3	1.5623491	1.5547327	1.4856751	1.4464457
2008	4	1.5251124	1.6357322	1.3704911	1.4641827
2008	5	1.6275547	1.6686081	1.5353172	1.5847529
2008	6	1.7005136	1.7796688	1.7215514	1.8648573
2008	7	1.6131649	1.7333044	1.709232	1.7575967
2008	8	1.4055043	1.6223989	1.2659802	1.5150311
2008	9	1.5695021	1.755385	1.604895	1.7483907
2008	10	1.5742904	1.5823452	1.453604	1.4792094
2008	11	1.3297564	1.4456441	1.0918926	1.3878527
2008	12	1.116528	1.1913371	0.8227177	1.128983
2009	1	1.3499287	1.5281829	1.2289692	1.4694556
2009	2	1.6174126	1.5897228	1.6624254	1.5833352
2009	3	1.5128026	1.4843352	1.3968076	1.3294232
2009	4	1.5491688	1.6618487	1.4401183	1.5936496
2009	5	1.7140558	1.7680088	1.678125	1.7115364
2009	6	1.5478519	1.7515653	1.5219457	1.7326021
2009	7	1.5281092	1.71414	1.4922215	1.7384067
2009	8	1.7127341	1.6844342	1.7776188	1.678156
2009	9	1.4702572	1.6167152	1.5246239	1.4827433
2009	10	1.3591299	1.6642883	1.1782483	1.6134841
2009	11	1.2848574	1.3951473	1.0959516	1.2965822
2009	12	1.104733	1.211788	0.8321636	1.0410304
2010	1	1.0139546	1.1581308	0.73452604	1.0034384
2010	2	1.2754842	1.3498225	1.1041925	1.2324313
2010	3	1.4686394	1.473492	1.3384476	1.4270465
2010	4	1.5619926	1.6063414	1.3712876	1.4011528
2010	5	1.6474177	1.6435243	1.5240967	1.5070677
2010	6	1.6787542	1.6754168	1.6127201	1.5556417
2010	7	1.395125	1.539281	1.3272276	1.466469
2010	8	1.2870567	1.424837	1.1072583	1.2534707
2010	9	1.1874802	1.478909	1.0220981	1.3598331
2010	10	1.5901383	1.590161	1.5641053	1.5570605
2010	11	1.270371	1.3082898	1.1625736	1.1392581
2010	12	1.232147	1.2873483	1.1645551	1.2414813
2011	1	1.2818799	1.3265259	1.2119448	1.3114126
2011	2	1.3006023	1.4188154	1.1749017	1.365401
2011	3	1.5390767	1.5880908	1.4277245	1.5209606
2011	4	1.6935796	1.7153344	1.6041306	1.6822377
2011	5	1.8019285	1.8152655	1.756851	1.8107445
2011	6	1.72758	1.742105	1.7783743	1.755077
2011	7	1.4457626	1.6227659	1.4437683	1.6430688
2011	8	1.5011822	1.564662	1.4955463	1.4567645
2011	9	1.2449348	1.4336125	1.1560009	1.3309709
2011	10	1.3032184	1.4836833	1.1109324	1.354769
2011	11	1.231123	1.447477	0.9632304	1.33735
2011	12	1.3357025	1.5302643	1.2512121	1.5167725
2012	1	1.2982334	1.3508912	1.2231615	1.2466424
2012	2	1.6642873	1.7135348	1.6040943	1.6937172
2012	3	1.7408701	1.809972	1.7311865	1.8740625
2012	4	1.4954147	1.5878968	1.2655036	1.4128191
2012	5	1.5733509	1.6976656	1.492872	1.572763
2012	6	1.6225637	1.8224723	1.6314737	1.797266
2012	7	1.631664	1.7818452	1.6198599	1.8685232
2012	8	1.3885905	1.5787528	1.2203413	1.4711344
2012	9	1.3952597	1.665912	1.2774222	1.6290146
2012	10	1.7634097	1.9018636	1.7267835	1.8151431
2012	11	1.5214921	1.5428547	1.4676404	1.4139436
2012	12	1.5714309	1.685998	1.5463803	1.6598217
2013	1	1.4462152	1.4101521	1.4040912	1.3671466
2013	2	1.2694708	1.3578365	1.139887	1.2367542
2013	3	1.3476669	1.4347786	1.2306489	1.3185997
2013	4	1.6849638	1.7622238	1.6585352	1.7316111
2013	5	1.769262	1.8442919	1.7466767	1.7838421
2013	6	1.6957636	1.7705139	1.7561519	1.8141328
2013	7	1.6306052	1.7993149	1.6985397	1.7886323
2013	8	1.4042403	1.4986291	1.2912738	1.3808988
2013	9	1.569758	1.7943523	1.6804247	1.8922418
2013	10	1.5447433	1.6694189	1.5646499	1.6067997
2013	11	1.334553	1.5724705	1.2134584	1.5458403
2013	12	1.5645345	1.6518145	1.588212	1.6320395
2014	1	1.2656884	1.3951237	1.2426516	1.3200617
2014	2	1.5528657	1.7030404	1.4731723	1.7061238
2014	3	1.3433801	1.5237617	1.2239792	1.4688832
2014	4	1.6616092	1.7040503	1.5479305	1.6245513
2014	5	1.6141201	1.7460891	1.512413	1.6328928
2014	6	1.7271166	1.8273286	1.8265674	1.8429823
2014	7	1.565801	1.7721466	1.5692976	1.7857282
2014	8	1.55119	1.7697618	1.53839	1.801316
2014	9	1.5723791	1.6342523	1.6110227	1.5870275
2014	10	1.5775449	1.6284058	1.5037425	1.5538478
2014	11	1.3486917	1.4087079	1.2100894	1.2418728
2014	12	1.3930298	1.589319	1.2255981	1.5138599
2015	1	1.627307	1.7275017	1.518984	1.695483
2015	2	1.3751881	1.4336946	1.2261707	1.3601084
2015	3	1.3941212	1.3938739	1.3186427	1.2806245
2015	4	1.7670945	1.7602556	1.7084353	1.676049
2015	5	1.7224451	1.751046	1.7055964	1.6925559
2015	6	1.6432753	1.7292199	1.6898514	1.7536793
2015	7	1.6646054	1.6725264	1.7661173	1.6941967
2015	8	1.4176109	1.5758461	1.3669682	1.4839783
2015	9	1.3199515	1.7166718	1.2870984	1.6596161
2015	10	1.6858944	1.6764784	1.7531817	1.6610308
2015	11	1.3875362	1.5076984	1.3000927	1.4089057
2015	12	1.3486017	1.3348159	1.259263	1.2306542
2016	1	1.235692	1.0914977	1.0981003	1.0106804
2016	2	1.5206418	1.4771026	1.453615	1.3809991
2016	3	1.370764	1.3020386	1.339808	1.2256255
2016	4	1.5479425	1.4949198	1.4579906	1.3730195
2016	5	1.7468898	1.7085233	1.7820742	1.6684928
2016	6	1.6029769	1.6371012	1.5840062	1.5551398
2016	7	1.4850953	1.6471752	1.4212159	1.6471775
2016	8	1.2654607	1.4733882	1.0300008	1.3340957
2016	9	1.6386014	1.8128114	1.6384315	1.8684957
2016	10	1.6300806	1.7869935	1.4982955	1.7483103
2016	11	1.6505756	1.8540142	1.5769916	1.851832
2016	12	1.486913	1.684922	1.4184854	1.766314
2017	1	1.366225	1.3943865	1.3037744	1.3093556
2017	2	1.2304469	1.2761856	1.1410952	1.1684802
2017	3	1.3566046	1.3264095	1.2337301	1.2004237
2017	4	1.5442231	1.4093586	1.4895058	1.3689461
2017	5	1.5509809	1.5638905	1.4339025	1.4676676
2017	6	1.6464834	1.64568	1.6916888	1.5910165
2017	7	1.3855548	1.5289357	1.1725599	1.4181821
2017	8	1.2855048	1.534517	1.1921006	1.4791481
2017	9	1.2792671	1.6133802	1.1921326	1.591231
2017	10	1.5271397	1.6870139	1.5510144	1.629061
2017	11	1.4477376	1.5042421	1.3032998	1.3963001
2017	12	1.2334588	1.3461633	1.1438137	1.2683933
2018	1	1.4672973	1.644214	1.3780951	1.6650426
2018	2	1.3404416	1.3528428	1.2330744	1.2687438
2018	3	1.4185905	1.3587976	1.2890275	1.2680509
2018	4	1.6041478	1.661833	1.6000593	1.6065636
2018	5	1.5650076	1.6703058	1.4265759	1.5896671
2018	6	1.6349208	1.6680261	1.6444227	1.6410749
2018	7	1.2592213	1.5137831	1.0783802	1.451586
2018	8	1.2655246	1.4947664	1.1279743	1.3608407
2018	9	1.2486746	1.4771855	1.1477041	1.2660682
2018	10	1.409193	1.6413293	1.2176254	1.5509963
2018	11	1.0302467	1.091605	0.89208776	1.0157576
2018	12	1.0792277	1.022396	0.9819931	0.9617838
