year	month	hanle_pblh_era5_avg	merak_pblh_era5_avg	hanle_pblh_era5_median	merak_pblh_era5_median
2003	11	0.7799472	0.7799472	0.20772022	0.20772022
2003	12	0.37918386	0.37918386	0.10145752	0.10145752
2004	1	0.27026975	0.27026975	0.07671576	0.07671576
2004	2	0.18919542	0.18919542	0.050138306	0.050138306
2004	3	0.64280933	0.64280933	0.11621143	0.11621143
2004	4	0.9144305	0.9144305	0.41661674	0.41661674
2004	5	0.95822597	0.95822597	0.36330086	0.36330086
2004	6	1.3233137	1.3233137	1.1822717	1.1822717
2004	7	1.2850763	1.2850763	1.1709965	1.1709965
2004	8	1.1478082	1.1478082	0.9325407	0.9325407
2004	9	1.0702477	1.0702477	0.5760168	0.5760168
2004	10	0.82412094	0.82412094	0.30251104	0.30251104
2004	11	0.6845587	0.6845587	0.10045825	0.10045825
2004	12	0.574129	0.574129	0.13705456	0.13705456
2005	1	0.16872463	0.16872463	0.06415826	0.06415826
2005	2	0.283617	0.283617	0.13578296	0.13578296
2005	3	0.1704977	0.1704977	0.054381773	0.054381773
2005	4	0.32437602	0.32437602	0.06034302	0.06034302
2005	5	0.6909978	0.6909978	0.2512529	0.2512529
2005	6	0.8954179	0.8954179	0.45974845	0.45974845
2005	7	0.9231469	0.9231469	0.6077371	0.6077371
2005	8	1.2249706	1.2249706	0.98699343	0.98699343
2005	9	0.7340593	0.7340593	0.25748235	0.25748235
2005	10	1.0014361	1.0014361	0.22705005	0.22705005
2005	11	1.0172955	1.0172955	0.31447217	0.31447217
2005	12	0.6512831	0.6512831	0.1141137	0.1141137
2006	1	0.31177926	0.31177926	0.09888019	0.09888019
2006	2	0.15084323	0.15084323	0.07790588	0.07790588
2006	3	0.15008707	0.15008707	0.046752505	0.046752505
2006	4	0.20453323	0.20453323	0.063502565	0.063502565
2006	5	0.5388984	0.5388984	0.10788587	0.10788587
2006	6	1.1017319	1.1017319	0.9757217	0.9757217
2006	7	0.9725992	0.9725992	0.52170956	0.52170956
2006	8	0.55399656	0.55399656	0.31422573	0.31422573
2006	9	0.9282503	0.9282503	0.32777834	0.32777834
2006	10	0.8304523	0.8304523	0.15100774	0.15100774
2006	11	0.47297755	0.47297755	0.08207141	0.08207141
2006	12	0.1645876	0.1645876	0.067726806	0.067726806
2007	1	0.18821153	0.18821153	0.06593665	0.06593665
2007	2	0.3049828	0.3049828	0.07697046	0.07697046
2007	3	0.1472959	0.1472959	0.059220336	0.059220336
2007	4	0.32646734	0.32646734	0.049420163	0.049420163
2007	5	0.76528275	0.76528275	0.29583138	0.29583138
2007	6	1.1838696	1.1838696	1.05446	1.05446
2007	7	1.1366558	1.1366558	1.0346882	1.0346882
2007	8	0.96331954	0.96331954	0.5341214	0.5341214
2007	9	1.0034648	1.0034648	0.53562915	0.53562915
2007	10	1.024279	1.024279	0.43330902	0.43330902
2007	11	0.89799416	0.89799416	0.14711426	0.14711426
2007	12	0.61556417	0.61556417	0.15050672	0.15050672
2008	1	0.31900182	0.31900182	0.106723934	0.106723934
2008	2	0.17992985	0.17992985	0.07350897	0.07350897
2008	3	0.26010424	0.26010424	0.05192346	0.05192346
2008	4	0.4622917	0.4622917	0.10278125	0.10278125
2008	5	0.73438776	0.73438776	0.30904895	0.30904895
2008	6	1.0321695	1.0321695	0.7475096	0.7475096
2008	7	0.9744756	0.9744756	0.6041831	0.6041831
2008	8	0.78139794	0.78139794	0.41309047	0.41309047
2008	9	0.61488986	0.61488986	0.11441083	0.11441083
2008	10	0.5466237	0.5466237	0.061964538	0.061964538
2008	11	0.7152179	0.7152179	0.09608722	0.09608722
2008	12	0.33472314	0.33472314	0.08150775	0.08150775
2009	1	0.17694762	0.17694762	0.073566526	0.073566526
2009	2	0.18828456	0.18828456	0.095507994	0.095507994
2009	3	0.23195043	0.23195043	0.072541445	0.072541445
2009	4	0.38458496	0.38458496	0.10780847	0.10780847
2009	5	0.70606697	0.70606697	0.2483778	0.2483778
2009	6	1.0285492	1.0285492	0.74267006	0.74267006
2009	7	1.1650327	1.1650327	1.0350844	1.0350844
2009	8	1.1014662	1.1014662	0.68105674	0.68105674
2009	9	0.39155394	0.39155394	0.06497827	0.06497827
2009	10	0.860471	0.860471	0.15022308	0.15022308
2009	11	0.48432294	0.48432294	0.106700316	0.106700316
2009	12	0.23057924	0.23057924	0.06519996	0.06519996
2010	1	0.23390573	0.23390573	0.0575105	0.0575105
2010	2	0.28509644	0.28509644	0.07813318	0.07813318
2010	3	0.23909585	0.23909585	0.06230652	0.06230652
2010	4	0.6798846	0.6798846	0.17638233	0.17638233
2010	5	1.0832903	1.0832903	0.6640308	0.6640308
2010	6	0.81775296	0.81775296	0.36585784	0.36585784
2010	7	0.9112129	0.9112129	0.56125975	0.56125975
2010	8	0.60341656	0.60341656	0.36417925	0.36417925
2010	9	0.7330098	0.7330098	0.34852374	0.34852374
2010	10	0.82606876	0.82606876	0.11910461	0.11910461
2010	11	0.39919522	0.39919522	0.053125612	0.053125612
2010	12	0.47231698	0.47231698	0.055386595	0.055386595
2011	1	0.21629673	0.21629673	0.06328955	0.06328955
2011	2	0.2696833	0.2696833	0.091543585	0.091543585
2011	3	0.22941333	0.22941333	0.06251001	0.06251001
2011	4	0.2602061	0.2602061	0.07293494	0.07293494
2011	5	0.8003266	0.8003266	0.32173267	0.32173267
2011	6	1.0367802	1.0367802	0.7553508	0.7553508
2011	7	1.0885794	1.0885794	0.7848389	0.7848389
2011	8	0.77811325	0.77811325	0.3903218	0.3903218
2011	9	0.9161587	0.9161587	0.4799227	0.4799227
2011	10	1.1431967	1.1431967	0.56036556	0.56036556
2011	11	0.8757875	0.8757875	0.1575346	0.1575346
2011	12	0.7886854	0.7886854	0.18786708	0.18786708
2012	1	0.4320223	0.4320223	0.09145661	0.09145661
2012	2	0.44018117	0.44018117	0.1400213	0.1400213
2012	3	0.2593168	0.2593168	0.08140338	0.08140338
2012	4	0.37542486	0.37542486	0.08100128	0.08100128
2012	5	0.8314019	0.8314019	0.3816076	0.3816076
2012	6	1.1383318	1.1383318	0.9869653	0.9869653
2012	7	1.3364612	1.3364612	1.143919	1.143919
2012	8	0.87813985	0.87813985	0.56822604	0.56822604
2012	9	0.9008829	0.9008829	0.44062763	0.44062763
2012	10	1.1113924	1.1113924	0.3799991	0.3799991
2012	11	0.76648736	0.76648736	0.11740936	0.11740936
2012	12	0.38341677	0.38341677	0.097117364	0.097117364
2013	1	0.1711451	0.1711451	0.050733157	0.050733157
2013	2	0.14635536	0.14635536	0.06709063	0.06709063
2013	3	0.1466211	0.1466211	0.045211792	0.045211792
2013	4	0.40267342	0.40267342	0.1311624	0.1311624
2013	5	0.87227654	0.87227654	0.39373845	0.39373845
2013	6	0.79612315	0.79612315	0.32438153	0.32438153
2013	7	1.0513632	1.0513632	0.68465966	0.68465966
2013	8	0.7265574	0.7265574	0.41927862	0.41927862
2013	9	1.0809542	1.0809542	0.48739547	0.48739547
2013	10	0.88502717	0.88502717	0.2359212	0.2359212
2013	11	0.5394655	0.5394655	0.10328974	0.10328974
2013	12	0.63176453	0.63176453	0.12596583	0.12596583
2014	1	0.2779361	0.2779361	0.07247376	0.07247376
2014	2	0.21959107	0.21959107	0.0724397	0.0724397
2014	3	0.22868608	0.22868608	0.07519202	0.07519202
2014	4	0.25725636	0.25725636	0.08592969	0.08592969
2014	5	0.73808414	0.73808414	0.29147363	0.29147363
2014	6	1.061159	1.061159	0.75658953	0.75658953
2014	7	0.8280849	0.8280849	0.44231012	0.44231012
2014	8	1.1712203	1.1712203	0.84150517	0.84150517
2014	9	1.1256344	1.1256344	0.85383976	0.85383976
2014	10	1.1776365	1.1776365	0.71642536	0.71642536
2014	11	0.6429816	0.6429816	0.10523023	0.10523023
2014	12	0.47544345	0.47544345	0.09187622	0.09187622
2015	1	0.2280808	0.2280808	0.06788287	0.06788287
2015	2	0.19994017	0.19994017	0.0739527	0.0739527
2015	3	0.14780785	0.14780785	0.06008728	0.06008728
2015	4	0.2398562	0.2398562	0.05565393	0.05565393
2015	5	0.7959221	0.7959221	0.37080926	0.37080926
2015	6	1.041571	1.041571	0.79908967	0.79908967
2015	7	0.6775659	0.6775659	0.36170447	0.36170447
2015	8	0.7774566	0.7774566	0.33584815	0.33584815
2015	9	1.0221133	1.0221133	0.5314219	0.5314219
2015	10	0.9439318	0.9439318	0.285415	0.285415
2015	11	0.57668114	0.57668114	0.111383304	0.111383304
2015	12	0.39879802	0.39879802	0.077731445	0.077731445
2016	1	0.40792876	0.40792876	0.06655432	0.06655432
2016	2	0.36637422	0.36637422	0.080435425	0.080435425
2016	3	0.4377344	0.4377344	0.13164026	0.13164026
2016	4	0.7970137	0.7970137	0.2964983	0.2964983
2016	5	1.1933571	1.1933571	0.87663364	0.87663364
2016	6	1.0256675	1.0256675	0.7161609	0.7161609
2016	7	1.1135657	1.1135657	0.82955027	0.82955027
2016	8	1.0191555	1.0191555	0.77534497	0.77534497
2016	9	1.1754545	1.1754545	0.83611166	0.83611166
2016	10	1.1994473	1.1994473	0.84448636	0.84448636
2016	11	1.014044	1.014044	0.2595371	0.2595371
2016	12	0.6833679	0.6833679	0.11581397	0.11581397
2017	1	0.4625724	0.4625724	0.13599157	0.13599157
2017	2	0.20242238	0.20242238	0.06078723	0.06078723
2017	3	0.22697872	0.22697872	0.07708423	0.07708423
