date	hanle_pblh_era5_avg	merak_pblh_era5_avg	hanle_pblh_era5_median	merak_pblh_era5_median
1995-04-05	0.57996374	0.57996374	0.05052838	0.05052838
1995-04-06	0.4101839	0.4101839	0.1249007	0.1249007
1995-04-07	0.22549377	0.22549377	0.10157367	0.10157367
1995-04-08	0.5142625	0.5142625	0.16460949	0.16460949
1995-04-09	0.6657036	0.6657036	0.38283667	0.38283667
1995-04-10	0.6353225	0.6353225	0.16314575	0.16314575
1995-04-11	0.6359376	0.6359376	0.15669891	0.15669891
1995-04-12	0.506505	0.506505	0.13922699	0.13922699
1995-04-13	0.24335234	0.24335234	0.047881164	0.047881164
1995-04-14	0.27926677	0.27926677	0.14417896	0.14417896
1995-04-15	0.45799538	0.45799538	0.25850922	0.25850922
1995-04-16	0.5112675	0.5112675	0.26019096	0.26019096
1995-04-17	0.3247658	0.3247658	0.13116065	0.13116065
1995-04-18	0.5102449	0.5102449	0.2499134	0.2499134
1995-04-19	0.71671003	0.71671003	0.39336345	0.39336345
1995-04-20	0.5777473	0.5777473	0.084008425	0.084008425
1995-04-21	0.42329818	0.42329818	0.1648587	0.1648587
1995-04-22	0.6018996	0.6018996	0.3345009	0.3345009
1995-04-23	0.6115958	0.6115958	0.22521606	0.22521606
1995-04-24	0.5307975	0.5307975	0.17547882	0.17547882
1995-04-25	0.5044521	0.5044521	0.17202185	0.17202185
1995-04-26	0.7012469	0.7012469	0.32758698	0.32758698
1995-04-27	0.7011457	0.7011457	0.28572917	0.28572917
1995-04-28	0.4937956	0.4937956	0.12854461	0.12854461
1995-04-29	0.6050296	0.6050296	0.15355329	0.15355329
1995-04-30	0.49592897	0.49592897	0.16330145	0.16330145
1995-05-01	0.58610433	0.58610433	0.17603943	0.17603943
1995-05-02	0.54718965	0.54718965	0.15535969	0.15535969
1995-05-03	0.48233974	0.48233974	0.09151416	0.09151416
1995-05-04	0.4698587	0.4698587	0.04775659	0.04775659
1995-05-05	0.5780951	0.5780951	0.16009364	0.16009364
1995-05-06	0.5284331	0.5284331	0.20478553	0.20478553
1995-05-07	0.5438936	0.5438936	0.23670825	0.23670825
1995-05-08	0.6899805	0.6899805	0.16395551	0.16395551
1995-05-09	0.8512217	0.8512217	0.19799608	0.19799608
1995-05-10	0.76352227	0.76352227	0.19678143	0.19678143
1995-05-11	0.6477802	0.6477802	0.21226007	0.21226007
1995-05-12	0.68665326	0.68665326	0.29986864	0.29986864
1995-05-13	0.7336083	0.7336083	0.2035086	0.2035086
1995-05-14	0.63200045	0.63200045	0.20276111	0.20276111
1995-05-15	0.824801	0.824801	0.24278137	0.24278137
1995-05-16	0.725843	0.725843	0.18304688	0.18304688
1995-05-17	1.0452862	1.0452862	0.6738478	0.6738478
1995-05-18	1.1134348	1.1134348	0.8778422	0.8778422
1995-05-19	1.2081624	1.2081624	1.2207083	1.2207083
1995-05-20	1.1388874	1.1388874	1.0615928	1.0615928
1995-05-21	1.1585628	1.1585628	1.0700951	1.0700951
1995-05-22	1.2880887	1.2880887	1.1436888	1.1436888
1995-05-23	1.4630256	1.4630256	1.2900664	1.2900664
1995-05-24	1.3935273	1.3935273	1.0595995	1.0595995
1995-05-25	1.3763514	1.3763514	1.2203968	1.2203968
1995-05-26	1.2003114	1.2003114	0.85460854	0.85460854
1995-05-27	1.3995849	1.3995849	0.9793099	0.9793099
1995-05-28	1.3078004	1.3078004	0.8401265	0.8401265
1995-05-29	1.0226548	1.0226548	0.7395621	0.7395621
1995-05-30	0.98452127	0.98452127	0.6249515	0.6249515
1995-05-31	1.0546294	1.0546294	0.7376933	0.7376933
1995-06-01	1.0843202	1.0843202	0.506884	0.506884
1995-06-02	1.1817055	1.1817055	0.9748874	0.9748874
1995-06-03	1.0599655	1.0599655	0.857505	0.857505
1995-06-04	0.9560659	0.9560659	0.5430734	0.5430734
1995-06-05	0.90217614	0.90217614	0.4055097	0.4055097
1995-06-06	0.80572784	0.80572784	0.42509937	0.42509937
1995-06-07	0.7343791	0.7343791	0.40482453	0.40482453
1995-06-08	0.7320459	0.7320459	0.40298694	0.40298694
1995-06-09	0.7957928	0.7957928	0.5176598	0.5176598
1995-06-10	0.89211655	0.89211655	0.7318072	0.7318072
1995-06-11	0.97430605	0.97430605	0.9816145	0.9816145
1995-06-12	1.1533824	1.1533824	0.9993979	0.9993979
1995-06-13	1.2417747	1.2417747	1.1219501	1.1219501
1995-06-14	1.3820974	1.3820974	1.1485162	1.1485162
1995-06-15	1.2138956	1.2138956	1.0402279	1.0402279
1995-06-16	1.4419358	1.4419358	1.2938972	1.2938972
1995-06-17	1.550089	1.550089	1.2250373	1.2250373
1995-06-18	1.4855609	1.4855609	1.3820351	1.3820351
1995-06-19	1.5013874	1.5013874	1.277671	1.277671
1995-06-20	1.1913601	1.1913601	1.2935545	1.2935545
1995-06-21	1.279646	1.279646	1.2628776	1.2628776
1995-06-22	1.0820208	1.0820208	0.6890773	0.6890773
1995-06-23	1.0640376	1.0640376	1.0152814	1.0152814
1995-06-24	0.89334935	0.89334935	0.42665654	0.42665654
1995-06-25	0.918327	0.918327	0.38753948	0.38753948
1995-06-26	0.99078906	0.99078906	0.55792916	0.55792916
1995-06-27	1.0612216	1.0612216	0.83666956	0.83666956
1995-06-28	1.1379246	1.1379246	1.0765109	1.0765109
1995-06-29	1.1809891	1.1809891	1.1345012	1.1345012
1995-06-30	1.3637898	1.3637898	1.2383982	1.2383982
1995-07-01	1.4592181	1.4592181	1.3229859	1.3229859
1995-07-02	1.5481011	1.5481011	1.2445959	1.2445959
1995-07-03	1.655673	1.655673	1.5753158	1.5753158
1995-07-04	1.6533839	1.6533839	1.6210043	1.6210043
1995-07-05	1.5159785	1.5159785	1.3431983	1.3431983
1995-07-06	1.5885806	1.5885806	1.4230831	1.4230831
1995-07-07	1.3936908	1.3936908	1.0287668	1.0287668
1995-07-08	1.7323214	1.7323214	1.6129692	1.6129692
1995-07-09	1.421186	1.421186	1.3541923	1.3541923
1995-07-10	1.3570367	1.3570367	1.2534719	1.2534719
1995-07-11	1.365482	1.365482	1.3011227	1.3011227
1995-07-12	1.7179276	1.7179276	1.704315	1.704315
1995-07-13	1.589502	1.589502	1.4258862	1.4258862
1995-07-14	1.4609467	1.4609467	1.4994175	1.4994175
1995-07-15	1.6733395	1.6733395	1.7500969	1.7500969
1995-07-16	1.2443935	1.2443935	0.9171149	0.9171149
1995-07-17	1.1793722	1.1793722	0.7564421	0.7564421
1995-07-18	0.9765821	0.9765821	0.5386199	0.5386199
1995-07-19	1.048032	1.048032	0.8076432	0.8076432
